section,line,fy2024_gbp,fy2023_restated_gbp,fy2022_gbp
Fixed assets,Tangible fixed assets - operational,74458281,75461873,63035658
Fixed assets,Tangible fixed assets - non-operational,4551697,4485261,4035898
Fixed assets,Subtotal,79009978,79947134,67071556
Long-term debtor,Manx Utilities drainage loan,478271,529569,578296
Current assets,Debtors,493206,413225,486329
Current assets,Cash at bank,2184312,2108053,2528836
Current assets,Subtotal,2677518,2521278,3015165
Current liabilities,Short-term borrowing,-1117165,-1087562,-1031548
Current liabilities,Creditors,-738360,-718771,-534019
Current liabilities,Subtotal,-1855525,-1806333,-1565567
Net,Net current assets,821993,714945,1449598
Net,Total before long-term liabilities,80310242,81191648,69099450
Long-term liabilities,Long-term borrowing,-13964142,-14411101,-15006263
Long-term liabilities,Net pension liabilities,-123000,-532000,-4542000
Net,Total assets less liabilities (net worth),66223100,66248547,49551187
Reserves,General fund,1192462,1204398,1103089
Reserves,Capital adjustment account,6458282,5796619,4063892
Reserves,Revaluation reserve,58154575,59105553,48259973
Reserves,Housing maintenance reserves,599379,588853,406407
Reserves,Pension reserve,-123000,-532000,-4542000
Reserves,Earmarked and other reserves,-199466,-55744,118958
Reserves,Capital receipts reserve,140868,140868,140868
Reserves,Total reserves,66223100,66248547,49551187

"# Onchan's own originally-published 31 March 2023 balance sheet (signed 11 December 2023), before the 2025 prior-year restatement (note 21) — not directly comparable to the fy2023_restated_gbp column above. See page notes."
section,line,fy2023_as_originally_published_gbp
Fixed assets,Tangible fixed assets - operational,62786632
Fixed assets,Tangible fixed assets - non-operational,4485261
Fixed assets,Subtotal,67271893
Long-term debtor,Manx Utilities drainage loan,529569
Current assets,Debtors,413225
Current assets,Cash at bank,2108053
Current assets,Subtotal,2521278
Current liabilities,Short-term borrowing,-1087562
Current liabilities,Creditors,-718771
Current liabilities,Subtotal,-1806333
Net,Net current assets,714945
Net,Total before long-term liabilities,68516407
Long-term liabilities,Long-term borrowing,-14411101
Long-term liabilities,Net pension liabilities,-532000
Net,Total assets less liabilities (net worth),53573306
Reserves,General fund,1204398
Reserves,Capital adjustment account,4704520
Reserves,Revaluation reserve,47522411
Reserves,Housing maintenance reserves,588853
Reserves,Pension reserve,-532000
Reserves,Earmarked and other reserves,-55744
Reserves,Capital receipts reserve,140868
Reserves,Total reserves,53573306
