island,year,source_table,area,age_band,limitation_level,count,pct_of_age_group,data_type,notes
IOM,2021,Table2.14,ISLAND_TOTAL,75-79,any_limitation,995,27.1%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,80-84,somewhat_limited,580,23.3%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,80-84,severely_limited,264,10.6%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,80-84,any_limitation,844,33.9%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,85+,somewhat_limited,576,24.5%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,85+,severely_limited,376,16.0%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,85+,any_limitation,952,40.4%,published_exact,Part I Table 2.14
IOM,2021,Table2.14,ISLAND_TOTAL,ALL_AGES,somewhat_limited,7577,,published_exact,Part I Table 2.14 - total island
IOM,2021,Table2.14,ISLAND_TOTAL,ALL_AGES,severely_limited,2461,,published_exact,Part I Table 2.14 - total island
IOM,2021,Table2.14,ISLAND_TOTAL,ALL_AGES,any_limitation,10038,,published_exact,Part I Table 2.14 - 11.9% of total population
