island,year,source_table,area,area_type,area_pop_total,sex,age_band,count,data_type,notes
IOM,2021,Table2.1-2.3,Douglas,Town,26677,Female,85+,420,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,0-4,349,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,5-9,386,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,10-14,406,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,15-19,414,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,20-24,417,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,25-29,439,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,30-34,435,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,35-39,425,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,40-44,480,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,45-49,543,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,50-54,575,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,55-59,663,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,60-64,581,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,65-69,515,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,70-74,559,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,75-79,410,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,80-84,343,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,All,85+,348,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,0-4,164,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,5-9,193,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,10-14,229,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,15-19,198,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,20-24,202,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Ramsey,Town,8288,Male,25-29,225,published_exact,Part I Table 2.2
