# Crown Dependencies & England/Wales — Suicide Mortality Data
# Compiled by Coalfinch from public sources. See source column for each row.
# Samaritans helpline: 116 123 (free, 24/7) | www.samaritans.org
# IoM: Lifeline 0808 808 8000 | GY: Samaritans 116 123 | JE: Samaritans 116 123
#
# NOTES ON METHODOLOGY
# E&W: ONS annual registrations. ASMR = 2013 European Standard Population, ages 10+.
#   Standard of proof changed 26 July 2018 (criminal→civil). Series not directly comparable across this break.
# IoM: IOM Public Health Directorate. Annual counts = year of registration, ICD-10 X60-X84 + Y10-Y34.
#   Population ~85,000 throughout. ASMR = 3yr rolling, 2013 ESP, from IOM Mortality Report 2022 Fig 29 + FOI.
# Guernsey: Public Health Intelligence Unit. Annual data only available as 3-year averages (small numbers).
#   Population ~63,000–64,000. ASMR = 3yr rolling, 2013 ESP, from Mortality Trends 2021 & 2024.
#   Definition: ICD-10 X60-X84 + Y10-Y34 (suicide + undetermined intent). Includes Alderney.
# Jersey: Health and Care Jersey / Statistics Jersey. Annual counts from Jersey Mortality Statistics reports.
#   Population ~103,000–107,000. ASMR = 3yr rolling, 2013 ESP, from Jersey Mortality Statistics 2020 & 2024.
#   Definition: intentional self-harm + undetermined intent (consistent with ONS).
#
# SERIES TYPES
# count_annual = confirmed annual registration count (deaths)
# count_3yr_avg = 3-year rolling average annual count (used where annual figures not published due to small numbers)
# rate_crude = count / population * 100,000 (calculated, not published)
# rate_asmr_3yr = 3-year rolling age-standardised mortality rate per 100,000, 2013 ESP (published)
# rate_asmr_annual = single-year ASMR per 100,000, 2013 ESP (published for E&W only)
#
jurisdiction,year,series_type,value,value_notes,source,source_url
#
# ── ENGLAND & WALES ──────────────────────────────────────────────────────────────
Guernsey,2009,count_3yr_avg,5.0,Window 2008-10 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2010,count_3yr_avg,7.0,Window 2009-11 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2011,count_3yr_avg,6.0,Window 2010-12 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2012,count_3yr_avg,4.0,Window 2011-13 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2013,count_3yr_avg,4.0,Window 2012-14 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2014,count_3yr_avg,7.0,Window 2013-15 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2015,count_3yr_avg,7.0,Window 2014-16 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2016,count_3yr_avg,7.0,Window 2015-17 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2017,count_3yr_avg,7.0,Window 2016-18 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2018,count_3yr_avg,7.0,Window 2017-19 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2019,count_3yr_avg,9.0,Window 2018-20 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2020,count_3yr_avg,8.0,Window 2019-21 — read from Fig 50 Mortality Trends 2024 (note: 2021=11 was peak year),Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2021,count_3yr_avg,8.0,Window 2020-22 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2022,count_3yr_avg,7.0,Window 2021-23 — read from Fig 50 Mortality Trends 2024 (confirmed closed inquests; max 10 if all open inquests = suicide),Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
# Guernsey 3yr rolling ASMR — 2013 ESP
# CONFIRMED: 2013-15=7.0 (Mortality Trends 2021); 2019-21=15.4 (Mortality Trends 2021 Fig 51)
# Others from Fig 51 (2021 report) and Fig 51 (2024 report)
Guernsey,2014,rate_asmr_3yr,7.0,Window 2013-15 — CONFIRMED Mortality Trends 2021,Guernsey Mortality Trends 2021 Figure 51 (Public Health Intelligence Unit Aug 2023),https://www.gov.gg/CHttpHandler.ashx?id=170213&p=0
Guernsey,2015,rate_asmr_3yr,12.2,Window 2014-16 — from Fig 51/52,Guernsey Mortality Trends 2024 Figure 51,https://www.gov.gg/publichealthinfo
Guernsey,2016,rate_asmr_3yr,12.4,Window 2015-17 — from Fig 51/52,Guernsey Mortality Trends 2024 Figure 51,https://www.gov.gg/publichealthinfo
Guernsey,2017,rate_asmr_3yr,12.1,Window 2016-18 — from Fig 51/52,Guernsey Mortality Trends 2024 Figure 51,https://www.gov.gg/publichealthinfo
Guernsey,2018,rate_asmr_3yr,12.8,Window 2017-19 — from Fig 51/52,Guernsey Mortality Trends 2024 Figure 51,https://www.gov.gg/publichealthinfo
Guernsey,2019,rate_asmr_3yr,15.4,Window 2018-20 — from Fig 51/52,Guernsey Mortality Trends 2024 Figure 52,https://www.gov.gg/publichealthinfo
Guernsey,2020,rate_asmr_3yr,14.1,Window 2019-21 — CONFIRMED Mortality Trends 2021,Guernsey Mortality Trends 2021 Figure 51,https://www.gov.gg/CHttpHandler.ashx?id=170213&p=0
Guernsey,2021,rate_asmr_3yr,12.2,Window 2020-22 — from Fig 52 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 52,https://www.gov.gg/publichealthinfo
Guernsey,2022,rate_asmr_3yr,9.6,Window 2021-23 — confirmed closed inquests only; maximum 11.0 if all open inquests = suicide,Guernsey Mortality Trends 2024 Figure 51,https://www.gov.gg/publichealthinfo
#
# ── JERSEY ───────────────────────────────────────────────────────────────────────
# Annual counts from Jersey Mortality Statistics reports (Figure 14 in 2020 report; Figure 16 in 2024 report)
# Definition: intentional self-harm + undetermined intent (ICD-10 X60-X84 + Y10-Y34)
# Year of registration. Population: ~103,000 (2007) rising to ~107,000 (2023).
# Crude rate calculated using approximate mid-period population of 105,000.
# Age/sex breakdown suppressed under Freedom of Information (Jersey) Law 2011 Art.25 (small numbers).
Jersey,2007,count_annual,15,,Jersey Mortality Statistics 2020 Figure 14 (Statistics Jersey),https://www.gov.je/Government/Pages/StatesReports.aspx?ReportID=5599
Jersey,2008,count_annual,16,,Jersey Mortality Statistics 2020 Figure 14,https://www.gov.je/Government/Pages/StatesReports.aspx?ReportID=5599
Jersey,2009,count_annual,26,,Jersey Mortality Statistics 2020 Figure 14,https://www.gov.je/Government/Pages/StatesReports.aspx?ReportID=5599
Jersey,2010,count_annual,10,,Jersey Mortality Statistics 2020 Figure 14,https://www.gov.je/Government/Pages/StatesReports.aspx?ReportID=5599
Jersey,2011,count_annual,8,,Jersey Mortality Statistics 2020 Figure 14,https://www.gov.je/Government/Pages/StatesReports.aspx?ReportID=5599
Jersey,2012,count_annual,12,,Jersey Mortality Statistics 2020 Figure 14,https://www.gov.je/Government/Pages/StatesReports.aspx?ReportID=5599
Jersey,2013,count_annual,9,,Jersey Mortality Statistics 2020 Figure 14,https://www.gov.je/Government/Pages/StatesReports.aspx?ReportID=5599
Jersey,2014,count_annual,7,,Jersey Mortality Statistics 2020 Figure 14,https://www.gov.je/Government/Pages/StatesReports.aspx?ReportID=5599
Jersey,2015,count_annual,10,,Jersey Mortality Statistics 2020 Figure 14,https://www.gov.je/Government/Pages/StatesReports.aspx?ReportID=5599
Jersey,2016,count_annual,15,,Jersey Mortality Statistics 2020 Figure 14,https://www.gov.je/Government/Pages/StatesReports.aspx?ReportID=5599
Jersey,2017,count_annual,6,,Jersey Mortality Statistics 2024 Figure 16 (Health and Care Jersey),https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2018,count_annual,12,,Jersey Mortality Statistics 2024 Figure 16,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2019,count_annual,12,,Jersey Mortality Statistics 2024 Figure 16,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2020,count_annual,6,,Jersey Mortality Statistics 2024 Figure 16,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2021,count_annual,6,,Jersey Mortality Statistics 2024 Figure 16,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2022,count_annual,11,,Jersey Mortality Statistics 2024 Figure 16,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2023,count_annual,6,,Jersey Mortality Statistics 2024 Figure 16,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2007,rate_crude,14.3,count/105000*100000 (approx population),Calculated from Jersey Mortality Statistics 2020 Fig 14,https://www.gov.je/Government/Pages/StatesReports.aspx?ReportID=5599
Jersey,2008,rate_crude,15.2,count/105000*100000,Calculated,
Jersey,2009,rate_crude,24.8,count/105000*100000,Calculated,
Jersey,2010,rate_crude,9.5,count/105000*100000,Calculated,
Jersey,2011,rate_crude,7.6,count/105000*100000,Calculated,
Jersey,2012,rate_crude,11.4,count/105000*100000,Calculated,
Jersey,2013,rate_crude,8.6,count/105000*100000,Calculated,
Jersey,2014,rate_crude,6.7,count/105000*100000,Calculated,
Jersey,2015,rate_crude,9.5,count/105000*100000,Calculated,
Jersey,2016,rate_crude,14.3,count/105000*100000,Calculated,
Jersey,2017,rate_crude,5.7,count/105000*100000,Calculated,
Jersey,2018,rate_crude,11.4,count/105000*100000,Calculated,
Jersey,2019,rate_crude,11.4,count/105000*100000,Calculated,
Jersey,2020,rate_crude,5.7,count/105000*100000,Calculated,
Jersey,2021,rate_crude,5.7,count/105000*100000,Calculated,
Jersey,2022,rate_crude,10.5,count/105000*100000,Calculated,
Jersey,2023,rate_crude,5.7,count/105000*100000,Calculated,
# Jersey 3yr rolling ASMR — 2013 ESP — from Jersey Mortality Statistics 2024 Figure 17
Jersey,2013,rate_asmr_3yr,8.8,Window 2012-14 — read from Fig 17,Jersey Mortality Statistics 2024 Figure 17 (Health and Care Jersey),https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2014,rate_asmr_3yr,8.0,Window 2013-15 — read from Fig 17,Jersey Mortality Statistics 2024 Figure 17,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2015,rate_asmr_3yr,10.2,Window 2014-16 — read from Fig 17,Jersey Mortality Statistics 2024 Figure 17,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2016,rate_asmr_3yr,9.8,Window 2015-17 — read from Fig 17,Jersey Mortality Statistics 2024 Figure 17,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2017,rate_asmr_3yr,10.5,Window 2016-18 — read from Fig 17,Jersey Mortality Statistics 2024 Figure 17,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2018,rate_asmr_3yr,9.3,Window 2017-19 — read from Fig 17,Jersey Mortality Statistics 2024 Figure 17,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2019,rate_asmr_3yr,10.8,Window 2018-20 — read from Fig 17,Jersey Mortality Statistics 2024 Figure 17,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2020,rate_asmr_3yr,7.6,Window 2019-21 — read from Fig 17,Jersey Mortality Statistics 2024 Figure 17,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2021,rate_asmr_3yr,7.1,Window 2020-22 — read from Fig 17,Jersey Mortality Statistics 2024 Figure 17,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
Jersey,2022,rate_asmr_3yr,7.0,Window 2021-23 — read from Fig 17,Jersey Mortality Statistics 2024 Figure 17,https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/Mortality%20Report%202024.pdf
