section,line,fy2024_gbp,fy2023_gbp
Fixed assets,Tangible fixed assets,600535,634178
Current assets,Debtors,26894,24239
Current assets,Cash at bank,110769,78391
Current assets,Subtotal,137663,102630
Current liabilities,Creditors,-67693,-33604
Net,Net current assets,69970,69026
Net,Total assets less liabilities,670505,703204
Reserves,Capital adjustment account,216528,204647
Reserves,Revaluation reserve,384008,429533
Reserves,General fund,69969,69024
Reserves,Total reserves,670505,703204
