section,line,fy2024_gbp,fy2023_gbp
Fixed assets,Tangible fixed assets,11056,11846
Current assets,Debtors,34938,35175
Current assets,Cash at bank,420531,393276
Current assets,Subtotal,455469,428451
Current liabilities,Creditors,-23312,-24545
Net,Net current assets,432157,403906
Net,Total assets less liabilities,443213,415752
Reserves,General rate fund,432157,403906
Reserves,Capital adjustment account,11056,11846
Reserves,Total reserves,443213,415752
