section,line,fy2024_gbp,fy2023_gbp
Fixed assets,Tangible fixed assets,65312,70997
Current assets,Debtors,29660,11873
Current assets,Cash at bank,59304,81879
Current assets,Subtotal,88964,93752
Current liabilities,Creditors,-27747,-41711
Net,Net current assets,61217,52041
Net,Total assets less current liabilities,126529,123038
Reserves,General revenue account,61216,52040
Reserves,Capital adjustment account,65313,70998
Reserves,Total reserves,126529,123038
