year_ended,section,line,amount_gbp
2023,Works,Housing pilot scheme recharge income (credit),0
2023,Works,Commercial rents (credit),-44032
2023,Works,Garage rents (credit),-56111
2023,Works,Car park fees (credit),-5726
2023,Parks,Grass cutting (employee costs),71870
2023,Parks,Gardening (employee costs),22138
2023,Parks,Cleaning (employee costs),27721
2023,Parks,Playground costs,1690
2023,Parks,Amenity areas,26928
2023,Parks,Skateboard/BMX costs,4206
2023,Parks,Beach costs,5295
2023,Parks,Bowls and tennis costs,4996
2023,Parks,Peel Hill rents (credit),-5757
2023,Parks,Shell tipping fees (credit),-3000
2023,Civic,Public functions (employee costs),13675
2023,Civic,Ward library (employee costs),14203
2023,Civic,Leece Museum (employee costs),0
2023,Civic,Ward library running costs,7814
2023,Civic,Leece Museum running costs,2004
2023,Civic,Campsite costs,32186
2023,Civic,Phillip Christian Centre costs,4567
2023,Civic,Western Swimming Pool Joint Board contribution,10455
2023,Civic,Public function fireworks,7121
2023,Civic,Peel Day,11428
2023,Civic,Carnival Day,5000
2023,Civic,Christmas costs,14695
2023,Civic,Other public function costs,17013
2023,Civic,Campsite fees (credit),-169930
2023,Civic,Leece Museum income (credit),-5096
2023,Civic,Public function income (credit),-11384
2023,Admin,Office salaries (employee costs),251509
2023,Admin,"Unallocated re covid, illness etc (employee costs)",57612
2023,Admin,Rates payable,-8653
2023,Admin,Website costs,5370
2023,Admin,"Printing, stationery, photocopier etc",3827
2023,Admin,Postage,1889
2023,Admin,Election expenses,1026
2023,Admin,Commissioners' attendance allowances,1300
2023,Admin,Town Hall maintenance,9080
2023,Admin,Computer costs,28011
2023,Admin,Telephone,6419
2023,Admin,Staff training,0
2023,Admin,Miscellaneous,4060
2023,Admin,Registrars costs,0
2023,Admin,Rate collection costs,16699
2023,Admin,Rates provision for bad debts,10573
2023,Admin,Other bad debt provisions,30557
2023,Admin,Admin allowance (credit),-109219
2023,Admin,Search fees (credit),-13083
2023,Admin,Hire of Boardroom (credit),-212
2023,Admin,Registrars fees (credit),-2656
2023,Admin,Other income (credit),0
2023,Admin,Miscellaneous income (credit),-1726
2023,Compliance,Audit fees,11800
2023,Compliance,Accountancy fees,18229
2023,Compliance,Legal and professional fees,18474
2023,Compliance,Insurance,29825
2023,Housing,Repairs and maintenance,396304
2023,Housing,Supervision and management,109219
2023,Housing,"Rents, rates, taxes and other charges",349379
2023,Housing,Depreciation and impairment charges (housing),646601
2023,CapitalDebt,Depreciation (General Fund),133772
2023,CapitalDebt,Net current service cost of pensions,48000
2023,CapitalDebt,Interest payable and finance charges,500634
2023,CapitalDebt,Net pension interest cost,48000
2023,Summary,Surplus for the year (Surplus on provision of services),611265
2023,Summary,General rate poundage (pence),264
2023,Summary,Net rateable value,421292
2023,Summary,Refuse fixed charge per household,198
2024,Income,General rate income,1079325
2024,Income,Refuse rate income,581948
2024,Income,Interest and investment income,28960
2024,Income,Profit on sale of asset,0
2024,Income,Write back of liability,0
2024,Income,Dwelling rents (including rates),2276420
2024,Income,Housing Deficiency Grant (Central Government),338083
2024,Sanitation,Refuse collection wages,1500
2024,Sanitation,Refuse disposal,301101
