section,line,fy2024_gbp,fy2023_gbp
Fixed assets,Tangible fixed assets,232,1017
Current assets,Debtors,32447,44264
Current assets,Cash at bank,83893,46557
Current assets,Subtotal,116340,90821
Current liabilities,Creditors falling due within one year,-40021,-34709
Net,Net current assets,76319,56112
Net,Net assets,76551,57129
Reserves,Capital adjustment account,232,1017
Reserves,General rate fund,76319,56112
Reserves,Total reserves,76551,57129
