year_ended,section,line,amount_gbp
2023,Housing Revenue Account (excluded from General Fund Sankey),HRA income,2863747
2023,Housing Revenue Account (excluded from General Fund Sankey),HRA expenditure - repairs and maintenance,-760126
2023,Housing Revenue Account (excluded from General Fund Sankey),HRA expenditure - supervision and management,-246963
2023,Housing Revenue Account (excluded from General Fund Sankey),"HRA expenditure - rents, rates, taxes and other charges",-392824
2023,Housing Revenue Account (excluded from General Fund Sankey),HRA expenditure - depreciation and impairment charges,-980269
2023,Housing Revenue Account (excluded from General Fund Sankey),HRA net result (surplus),483565
2024,Income,General rate income,2792463
2024,Income,Interest receivable and other income,44362
2024,Income,Profit on disposal of fixed assets,7991
2024,Finance & General Purposes,Employment costs,835623
2024,Finance & General Purposes,Establishment costs,71191
2024,Finance & General Purposes,Operating costs,128592
2024,Finance & General Purposes,"Legal, professional and bank costs",61672
2024,Finance & General Purposes,Vehicle costs,2780
2024,Finance & General Purposes,Policy and general costs,24236
2024,Finance & General Purposes,Administrative recoveries (income),-149266
2024,Finance & General Purposes,"Building Regulation fees, Search fees, commissions & other income (income)",-114225
2024,"Highways, lighting & properties","Street lighting, seats and signs - establishment costs",57939
2024,"Highways, lighting & properties","Street lighting, seats and signs - operating costs",139754
2024,"Highways, lighting & properties",Miscellaneous land and properties - establishment costs,65982
2024,"Highways, lighting & properties",Commercial rents (income),-219658
2024,"Highways, lighting & properties",Garage rents (income),-136257
2024,Refuse collection,Employment costs,367884
2024,Refuse collection,Establishment costs,16699
2024,Refuse collection,Operating costs,556262
2024,Refuse collection,Vehicle costs,235056
2024,Refuse collection,Refuse collection income (income),-105647
2024,Leisure & Amenities,Library - employment costs,141609
2024,Leisure & Amenities,Library - establishment costs,25323
2024,Leisure & Amenities,Library - operating costs,24847
2024,Leisure & Amenities,Library income (income),-2144
2024,Leisure & Amenities,"Parks, glens & open spaces - employment costs",354488
2024,Leisure & Amenities,"Parks, glens & open spaces - establishment costs",178392
2024,Leisure & Amenities,"Parks, glens & open spaces - operating costs",118163
2024,Leisure & Amenities,"Parks, glens & open spaces - vehicle costs",30904
2024,Leisure & Amenities,Income from attractions and events (income),-79539
2024,Leisure & Amenities,Parks sundry income (income),-592
2024,Leisure & Amenities,Onchan Hub - employment costs,21827
2024,Leisure & Amenities,Onchan Hub - establishment costs,48918
2024,Leisure & Amenities,Onchan Hub income (income),-35359
2024,Government Assisted,Sewers & Pumping Station - Government reimbursement (income),-34091
2024,Government Assisted,Road sweeping - employment costs,37612
2024,Government Assisted,Road sweeping - operating costs,32146
2024,Other (interest / pension cost),Interest payable and similar charges,875709
2024,Other (interest / pension cost),Pension interest cost,18000
2024,Headline totals,Net cost of General Fund services (published),-2701121
2024,Headline totals,Housing Revenue Account net result,372567
2024,Headline totals,(Deficit) on provision of services (published headline),-377447
2024,Headline totals,"Total comprehensive income and expenditure (published, not used as headline)",-25447
2024,Headline totals,Statutory movement in General Fund balance,-11936
2024,Rates,Rate in the pound (pence),373
2024,Rates,Net rateable value,800910
2024,Housing Revenue Account (excluded from General Fund Sankey),HRA income,3114643
2024,Housing Revenue Account (excluded from General Fund Sankey),HRA expenditure - repairs and maintenance,-806790
2024,Housing Revenue Account (excluded from General Fund Sankey),HRA expenditure - supervision and management,-311400
2024,Housing Revenue Account (excluded from General Fund Sankey),"HRA expenditure - rents, rates, taxes and other charges",-428402
2024,Housing Revenue Account (excluded from General Fund Sankey),HRA expenditure - depreciation and impairment charges,-1195484
2024,Housing Revenue Account (excluded from General Fund Sankey),HRA net result (surplus),372567
